MIB1_DANRE	DLLC_DANRE
MIB1_DANRE	DLLA_DANRE
RAG1_DANRE	H33_DANRE
RAG1_DANRE	H32_DANRE
A0A2R8Q387_DANRE	Q803T0_DANRE
SIAH1_DANRE	G1K2I7_DANRE
SMUF2_DANRE	P53_DANRE
SYVN1_DANRE	SYVN1_DANRE
E7EYR3_DANRE	CCND1_DANRE
RSP5_EMENI	UAPA_EMENI
HAKAI_CHICK	CADH1_CHICK
RAG1_CHICK	H33_CHICK
RAG1_CHICK	H32_CHICK
E1C049_CHICK	MYD88_CHICK
AHR_HUMAN	ESR1_HUMAN
AHR_HUMAN	PPARG_HUMAN
AMRA1_HUMAN	BECN1_HUMAN
AMFR_HUMAN	SODC_HUMAN
AMFR_HUMAN	CXB1_HUMAN
AMFR_HUMAN	HERP1_HUMAN
AMFR_HUMAN	MFN1_HUMAN
AMFR_HUMAN	MFN2_HUMAN
AMFR_HUMAN	UBL4A_HUMAN
AMFR_HUMAN	NEUS_HUMAN
APC11_HUMAN	PTTG1_HUMAN
APC11_HUMAN	ANLN_HUMAN
APC11_HUMAN	GEMI_HUMAN
APC11_HUMAN	CCNB1_HUMAN
ANC2_HUMAN	PTTG1_HUMAN
ARI1B_HUMAN	ARI1B_HUMAN
ARI1_HUMAN	IF4E2_HUMAN
ARI1_HUMAN	SIM2_HUMAN
ARI2_HUMAN	IKBB_HUMAN
ARI2_HUMAN	ABC3G_HUMAN
ARI2_HUMAN	GFI1_HUMAN
ARI2_HUMAN	ARI2_HUMAN
ASB11_HUMAN	BIK_HUMAN
ASB11_HUMAN	RPN1_HUMAN
ASB2_HUMAN	FLNA_HUMAN
ASB2_HUMAN	FLNB_HUMAN
ASB3_HUMAN	TNR1B_HUMAN
ASB4_HUMAN	ID2_HUMAN
ASB8_HUMAN	RED_HUMAN
ASB9_HUMAN	KCRB_HUMAN
ASB9_HUMAN	KCRU_HUMAN
AURKA_HUMAN	SODM_HUMAN
BARD1_HUMAN	H2AX_HUMAN
BARD1_HUMAN	ESR1_HUMAN
BARD1_HUMAN	BRCA1_HUMAN
BARD1_HUMAN	RPAB3_HUMAN
BARD1_HUMAN	RPB1_HUMAN
BFAR_HUMAN	BI1_HUMAN
BFAR_HUMAN	TGFA_HUMAN
BIRC2_HUMAN	TANK_HUMAN
BIRC2_HUMAN	M3K14_HUMAN
BIRC2_HUMAN	RIPK4_HUMAN
BIRC2_HUMAN	DBLOH_HUMAN
BIRC2_HUMAN	XPO2_HUMAN
BIRC2_HUMAN	RAC1_HUMAN
BIRC2_HUMAN	CASP8_HUMAN
BIRC2_HUMAN	RIPK1_HUMAN
BIRC2_HUMAN	TRAF1_HUMAN
BIRC2_HUMAN	TRAF2_HUMAN
BIRC2_HUMAN	TRAF6_HUMAN
BIRC2_HUMAN	CASP7_HUMAN
BIRC2_HUMAN	BIRC2_HUMAN
BIRC2_HUMAN	NEMO_HUMAN
BIRC2_HUMAN	MAD1_HUMAN
BIRC2_HUMAN	RIPK3_HUMAN
BIRC2_HUMAN	CASP3_HUMAN
BIRC2_HUMAN	PGAM5_HUMAN
BIRC2_HUMAN	M3K5_HUMAN
BIRC2_HUMAN	IKKE_HUMAN
BIRC2_HUMAN	TRAF3_HUMAN
BIRC2_HUMAN	MD1L1_HUMAN
BIRC2_HUMAN	PCSK9_HUMAN
BIRC2_HUMAN	PACS2_HUMAN
BIRC2_HUMAN	RIPK2_HUMAN
BIRC3_HUMAN	M3K14_HUMAN
BIRC3_HUMAN	KRR1_HUMAN
BIRC3_HUMAN	IRF1_HUMAN
BIRC3_HUMAN	TRAF1_HUMAN
BIRC3_HUMAN	TRAF6_HUMAN
BIRC3_HUMAN	RIPK3_HUMAN
BIRC3_HUMAN	RIPK4_HUMAN
BIRC3_HUMAN	BCL10_HUMAN
BIRC3_HUMAN	CASP8_HUMAN
BIRC3_HUMAN	TANK_HUMAN
BIRC3_HUMAN	PACS2_HUMAN
BIRC3_HUMAN	MALT1_HUMAN
BIRC3_HUMAN	IKKE_HUMAN
BIRC3_HUMAN	TRAF3_HUMAN
BIRC3_HUMAN	RIPK1_HUMAN
BIRC3_HUMAN	CASP3_HUMAN
BIRC3_HUMAN	DBLOH_HUMAN
BIRC3_HUMAN	BIRC3_HUMAN
BIRC3_HUMAN	RIPK2_HUMAN
BIRC3_HUMAN	CASP7_HUMAN
BIRC3_HUMAN	TRAF2_HUMAN
BIRC6_HUMAN	DBLOH_HUMAN
BIRC7_HUMAN	DBLOH_HUMAN
BMI1_HUMAN	GEMI_HUMAN
BMI1_HUMAN	H2A2B_HUMAN
BMI1_HUMAN	H2A2C_HUMAN
BMI1_HUMAN	RING2_HUMAN
BMI1_HUMAN	H2A1H_HUMAN
BMI1_HUMAN	H2A1B_HUMAN
