0	0
0	1
0	2
1	3
1	4
1	5
2	6
2	2
2	7
2	8
2	9
2	1
2	10
2	11
2	12
2	13
3	14
3	10
3	15
3	16
3	17
3	18
3	19
3	20
3	21
3	22
3	23
3	24
3	25
3	26
4	27
4	11
4	28
4	10
4	2
4	8
4	29
4	30
4	1
4	31
4	32
4	9
4	13
5	18
6	26
7	33
8	15
8	34
8	35
8	36
8	37
8	38
8	39
8	40
8	41
8	42
8	43
8	25
8	44
9	45
9	46
9	47
9	48
9	49
9	50
9	51
9	52
10	53
11	54
11	55
11	56
12	57
12	58
12	59
12	60
13	61
13	62
14	63
15	64
16	65
17	66
18	67
19	68
19	69
19	70
20	70
21	71
22	37
23	72
23	73
23	74
23	75
23	76
23	77
23	78
23	79
23	80
23	81
23	82
23	44
23	83
23	84
23	85
23	86
23	87
23	88
23	89
23	90
23	91
23	92
23	93
23	94
23	95
23	96
23	97
23	98
23	99
23	100
23	101
23	51
23	102
23	103
23	104
23	105
23	106
23	107
23	108
23	109
23	110
23	111
23	112
23	113
23	114
23	115
23	116
23	117
23	118
23	119
23	120
23	121
23	122
23	62
23	123
23	124
23	125
23	126
23	127
23	128
23	129
23	130
23	131
23	132
23	133
23	134
23	135
23	136
23	137
23	138
23	139
23	140
23	141
23	142
23	143
23	144
23	145
23	146
23	147
23	148
23	149
23	150
23	151
23	152
23	153
23	154
23	155
23	156
23	52
23	157
23	158
23	33
23	159
23	160
24	161
24	162
25	163
25	164
25	165
25	166
25	167
25	168
26	169
27	170
28	171
28	172
28	173
28	174
28	175
28	176
28	177
28	139
29	178
29	179
29	180
29	181
30	182
30	131
30	183
30	118
31	63
32	184
32	185
33	186
34	187
35	102
36	188
36	189
36	190
36	71
37	191
37	192
37	68
38	193
